Sample_unique_id,Treat,Plate,library,Cell,Dose,Time,Compound name,Catalog Number,Catalog Number.1,smiles
sample1_1007,Compd0279,Plate3,1,293T,10uM,24h,Tubuloside A,Cpd0279,112516-05-9,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C)OCCC3=CC(=C(C=C3)O)O)COC4C(C(C(C(O4)CO)O)O)O)OC(=O)C=CC5=CC(=C(C=C5)O)O)O)O)O
sample1_1008,Compd0280,Plate3,1,293T,10uM,24h,Glabridin,Cpd0280,59870-68-7,CC1(C=CC2=C(O1)C=CC3=C2OCC(C3)C4=C(C=C(C=C4)O)O)C
sample1_1009,Compd0281,Plate3,1,293T,10uM,24h,Pogostone,Cpd0281,23800-56-8,CC1=CC(=C(C(=O)O1)C(=O)CCC(C)C)O
sample1_101,DMSO,Plate1,1,293T,10uM,24h,,,,
sample1_1010,Compd0282,Plate3,1,293T,10uM,24h,Podophyllotoxin,Cpd0282,518-28-5,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O
sample1_1011,Compd0283,Plate3,1,293T,10uM,24h,Harpagoside,Cpd0283,19210-12-9,CC1(CC(C2(C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)OC(=O)C=CC4=CC=CC=C4
sample1_1012,Compd0284,Plate3,1,293T,10uM,24h,Harpagide,Cpd0284,6926-8-5,CC1(CC(C2(C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O
sample1_1013,Compd0285,Plate3,1,293T,10uM,24h,"sec-O-Glucosyl
hamaudol",Cpd0285,80681-44-3,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC(C(C3)OC4C(C(C(C(O4)CO)O)O)O)(C)C)O
sample1_1014,Compd0286,Plate3,1,293T,10uM,24h,Wogonin,Cpd0286,632-85-9,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O
sample1_1015,Compd0287,Plate3,1,293T,10uM,24h,"Ecliptasaponin
A",Cpd0287,78285-90-2,CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(C(O6)CO)O)O)O)C)C(=O)O)C
sample1_1016,Compd0288,Plate3,1,293T,10uM,24h,Honokiol,Cpd0288,35354-74-6,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C
sample1_1017,Compd0289,Plate3,1,293T,10uM,24h,Nuciferine,Cpd0289,475-83-2,CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)OC)OC
sample1_1019,Compd0291,Plate3,1,293T,10uM,24h,Schisanwilsonin H,Cpd0291,1181216-83-0,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4C(C1(C)O)OC(=O)C5=CC=CC=C5)OC)OC)OC)OC)OCO3
sample1_102,DMSO,Plate1,1,293T,10uM,24h,,,,
sample1_1020,Compd0292,Plate3,1,293T,10uM,24h,Salidroside,Cpd0292,10338-51-9,C1=CC(=CC=C1CCOC2C(C(C(C(O2)CO)O)O)O)O
sample1_1021,Compd0293,Plate3,1,293T,10uM,24h,Orientin,Cpd0293,28608-75-5,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O)O
sample1_1022,Compd0294,Plate3,1,293T,10uM,24h,Magnolol,Cpd0294,528-43-8,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O
sample1_1023,Compd0295,Plate3,1,293T,10uM,24h,Picroside II,Cpd0295,39012-20-9,COC1=C(C=CC(=C1)C(=O)OC2C3C=COC(C3C4(C2O4)CO)OC5C(C(C(C(O5)CO)O)O)O)O
sample1_1024,Compd0296,Plate3,1,293T,10uM,24h,Picroside I,Cpd0296,27409-30-9,C1=CC=C(C=C1)C=CC(=O)OCC2C(C(C(C(O2)OC3C4C(C=CO3)C(C5C4(O5)CO)O)O)O)O
sample1_1025,Compd0297,Plate3,1,293T,10uM,24h,Piperine,Cpd0297,94-62-2,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3
sample1_1026,Compd0298,Plate3,1,293T,10uM,24h,Sesamoside,Cpd0298,117479-87-5,CC12C3C(OC=C(C3(C(C1O2)O)O)C(=O)OC)OC4C(C(C(C(O4)CO)O)O)O
sample1_1027,Compd0299,Plate3,1,293T,10uM,24h,Trigonelline hydrochloride,Cpd0299,6138-41-6,C[N+]1=CC=CC(=C1)C(=O)O.[Cl-]
sample1_1028,Compd0300,Plate3,1,293T,10uM,24h,Quercitrin,Cpd0300,522-12-3,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
sample1_1029,DMSO,Plate3,1,293T,10uM,24h,,,,
sample1_103,DMSO,Plate1,1,293T,10uM,24h,,,,
sample1_1030,DMSO,Plate3,1,293T,10uM,24h,,,,
sample1_1031,DMSO,Plate3,1,293T,10uM,24h,,,,
sample1_1032,DMSO,Plate3,1,293T,10uM,24h,,,,
sample1_1033,DMSO,Plate3,1,293T,10uM,24h,,,,
sample1_1034,DMSO,Plate3,1,293T,10uM,24h,,,,
sample1_1035,JQ1,Plate3,1,293T,10uM,24h,,,,
sample1_1036,JQ1,Plate3,1,293T,10uM,24h,,,,
sample1_1037,JQ1,Plate3,1,293T,10uM,24h,,,,
sample1_1038,JQ1,Plate3,1,293T,10uM,24h,,,,
sample1_1039,JQ1,Plate3,1,293T,10uM,24h,,,,
sample1_104,DMSO,Plate1,1,293T,10uM,24h,,,,
sample1_1040,JQ1,Plate3,1,293T,10uM,24h,,,,
sample1_105,DMSO,Plate1,1,293T,10uM,24h,,,,
sample1_1057,Compd0301,Plate4,1,293T,10uM,24h,Quercetin,Cpd0301,117-39-5,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
sample1_1058,Compd0302,Plate4,1,293T,10uM,24h,"Quercetin
3-O-β-D-xylopy ranoside",Cpd0302,549-32-6,C1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
sample1_1059,Compd0303,Plate4,1,293T,10uM,24h,"Quercetin
3-O-β-D-gluco
se-7-O-β-D-ge ntiobioside",Cpd0303,60778-02-1,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)COC5C(C(C(C(O5)CO)O)O)O)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)O)O
sample1_106,DMSO,Plate1,1,293T,10uM,24h,,,,
sample1_1061,Compd0305,Plate4,1,293T,10uM,24h,Polydatin,Cpd0305,27208-80-6,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O
sample1_1062,Compd0306,Plate4,1,293T,10uM,24h,Cinobufagin,Cpd0306,470-37-1,CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5C3(CCC(C5)O)C)C)C6=COC(=O)C=C6
sample1_1063,Compd0307,Plate4,1,293T,10uM,24h,Cinobufotalin,Cpd0307,1108-68-5,CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5(C3(CCC(C5)O)C)O)C)C6=COC(=O)C=C6
sample1_1064,Compd0308,Plate4,1,293T,10uM,24h,"Caffeoylputresci
ne",Cpd0308,29554-26-5,C1=CC(=C(C=C1C=CC(=O)NCCCCN)O)O
sample1_1065,Compd0309,Plate4,1,293T,10uM,24h,"Sophoflavescen
ol",Cpd0309,216450-65-6,CC(=CCC1=C2C(=C(C=C1O)OC)C(=O)C(=C(O2)C3=CC=C(C=C3)O)O)C
sample1_1066,Compd0310,Plate4,1,293T,10uM,24h,Phellodendrine,Cpd0310,6873-13-8,C[N+]12CCC3=CC(=C(C=C3C1CC4=CC(=C(C=C4C2)OC)O)O)OC
sample1_1067,Compd0311,Plate4,1,293T,10uM,24h,Obacunone,Cpd0311,751-03-1,CC1(C2CC(=O)C3(C(C2(C=CC(=O)O1)C)CCC4(C35C(O5)C(=O)OC4C6=COC=C6)C)C)C
sample1_1068,Compd0312,Plate4,1,293T,10uM,24h,Glycitin,Cpd0312,40246-10-4,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC4C(C(C(C(O4)CO)O)O)O
sample1_1069,Compd0313,Plate4,1,293T,10uM,24h,Glycitein,Cpd0313,40957-83-3,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O
sample1_107,JQ1,Plate1,1,293T,10uM,24h,,,,
sample1_1070,Compd0314,Plate4,1,293T,10uM,24h,Xanthohumol,Cpd0314,6754-58-1,CC(=CCC1=C(C(=C(C=C1O)OC)C(=O)C=CC2=CC=C(C=C2)O)O)C
sample1_1071,Compd0315,Plate4,1,293T,10uM,24h,Astragaloside IV,Cpd0315,84687-43-4,CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C
sample1_1072,Compd0316,Plate4,1,293T,10uM,24h,Astragaloside I,Cpd0316,84680-75-1,CC(=O)OC1C(COC(C1OC(=O)C)OC2CCC34CC35CCC6(C(C(CC6(C5CC(C4C2(C)C)OC7C(C(C(C(O7)CO)O)O)O)C)O)C8(CCC(O8)C(C)(C)O)C)C)O
sample1_1073,Compd0317,Plate4,1,293T,10uM,24h,Astragaloside II,Cpd0317,84676-89-1,CC(=O)OC1C(C(COC1OC2CCC34CC35CCC6(C(C(CC6(C5CC(C4C2(C)C)OC7C(C(C(C(O7)CO)O)O)O)C)O)C8(CCC(O8)C(C)(C)O)C)C)O)O
sample1_1076,Compd0320,Plate4,1,293T,10uM,24h,Engeletin,Cpd0320,572-31-6,CC1C(C(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O
sample1_1077,Compd0321,Plate4,1,293T,10uM,24h,Baicalein,Cpd0321,491-67-8,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
sample1_1078,Compd0322,Plate4,1,293T,10uM,24h,Macranthoidin A,Cpd0322,140360-29-8,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)OC8C(C(C(C(O8)COC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)O)O)O)OC1C(C(C(C(O1)CO)O)O)O)O
sample1_1079,Compd0323,Plate4,1,293T,10uM,24h,"Macranthoidin
B",Cpd0323,136849-88-2,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)OC8C(C(C(C(O8)COC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)O)O)O)OC1C(C(C(C(O1)CO)OC1C(C(C(C(O1)CO)O)O)O)O)O)O
sample1_108,JQ1,Plate1,1,293T,10uM,24h,,,,
sample1_1080,Compd0324,Plate4,1,293T,10uM,24h,Pimpinellin,Cpd0324,131-12-4,COC1=C(C2=C(C=CO2)C3=C1C=CC(=O)O3)OC
sample1_1082,Compd0326,Plate4,1,293T,10uM,24h,2-(4-Hydroxyphenyl)ethyl 4-methoxybenzoate,Cpd0326,87932-34-1,COC1=CC=C(C=C1)C(=O)OCCC2=CC=C(C=C2)O
sample1_1083,Compd0327,Plate4,1,293T,10uM,24h,Asiaticoside,Cpd0327,16830-15-2,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)O)O)O
sample1_1084,Compd0328,Plate4,1,293T,10uM,24h,Asiatic acid,Cpd0328,464-92-6,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O
sample1_1085,Compd0329,Plate4,1,293T,10uM,24h,Germacrone,Cpd0329,6902-91-6,CC1=CCC(=C(C)C)C(=O)CC(=CCC1)C
sample1_1086,Compd0330,Plate4,1,293T,10uM,24h,Methylophiopog onone A,Cpd0330,74805-90-6,CC1=C(C(=C2C(=C1O)C(=O)C(=CO2)CC3=CC4=C(C=C3)OCO4)C)O
sample1_1087,Compd0331,Plate4,1,293T,10uM,24h,Methylophiopog onanone A,Cpd0331,74805-92-8,CC1=C(C(=C2C(=C1O)C(=O)C(CO2)CC3=CC4=C(C=C3)OCO4)C)O
sample1_1088,Compd0332,Plate4,1,293T,10uM,24h,Methylophiopog onanone B,Cpd0332,74805-91-7,CC1=C(C(=C2C(=C1O)C(=O)C(CO2)CC3=CC=C(C=C3)OC)C)O
sample1_1089,Compd0333,Plate4,1,293T,10uM,24h,"Methylprotodios
cin",Cpd0333,54522-52-0,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)OC
sample1_109,JQ1,Plate1,1,293T,10uM,24h,,,,
sample1_1090,Compd0334,Plate4,1,293T,10uM,24h,"Pseudoginsenosi
de RT1",Cpd0334,98474-74-9,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(CO7)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
sample1_1091,Compd0335,Plate4,1,293T,10uM,24h,Curcumin,Cpd0335,458-37-7,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
sample1_1092,Compd0336,Plate4,1,293T,10uM,24h,Nordihydrocaps aicin,Cpd0336,28789-35-7,CC(C)CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
sample1_1093,Compd0337,Plate4,1,293T,10uM,24h,Jionoside B1,Cpd0337,120406-37-3,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)OC)COC4C(C(C(C(O4)CO)O)O)O)OCCC5=CC(=C(C=C5)OC)O)O)O)O)O
sample1_1094,Compd0338,Plate4,1,293T,10uM,24h,"Gypenoside
XLIX",Cpd0338,94987-08-3,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C5CCC6C(CCC6(C5(CCC4C3(C)C)C)C)C(CCC=C(C)C)(COC7C(C(C(C(O7)CO)O)O)O)O)C=O)O)OC8C(C(C(CO8)O)O)O)O)O)O
sample1_1096,Compd0340,Plate4,1,293T,10uM,24h,Pseudolaric Acid C,Cpd0340,82601-41-0,CC(=CC=CC1(C2CCC3(C2(CCC(=CC3)C(=O)OC)O)C(=O)O1)C)C(=O)O
sample1_1097,Compd0341,Plate4,1,293T,10uM,24h,Cytisine,Cpd0341,485-35-8,C1C2CNCC1C3=CC=CC(=O)N3C2
sample1_1098,Compd0342,Plate4,1,293T,10uM,24h,Poliumoside,Cpd0342,94079-81-9,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OCCC3=CC(=C(C=C3)O)O)O)OC4C(C(C(C(O4)C)O)O)O)OC(=O)C=CC5=CC(=C(C=C5)O)O)O)O)O
sample1_1099,Compd0343,Plate4,1,293T,10uM,24h,Hyperoside,Cpd0343,482-36-0,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O
sample1_11,Compd0011,Plate1,1,293T,10uM,24h,Resibufagin,Cpd0011,20987-24-0,CC12CCC3C(C14C(O4)CC2C5=COC(=O)C=C5)CCC6C3(CCC(C6)O)C=O
sample1_110,JQ1,Plate1,1,293T,10uM,24h,,,,
sample1_1100,Compd0344,Plate4,1,293T,10uM,24h,Ajugasterone C,Cpd0344,23044-80-6,CC(C)CCC(C(C)(C1CCC2(C1(CC(C3C2=CC(=O)C4C3(CC(C(C4)O)O)C)O)C)O)O)O
sample1_1101,Compd0345,Plate4,1,293T,10uM,24h,Geniposidic acid,Cpd0345,27741-01-1,C1C=C(C2C1C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)O)CO
sample1_1102,Compd0346,Plate4,1,293T,10uM,24h,Platycodin D,Cpd0346,58479-68-8,CC1C(C(C(C(O1)OC2C(C(COC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4O)C)(CCC7C6(CC(C(C7(CO)CO)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)OC9C(C(C(CO9)O)OC1C(C(CO1)(CO)O)O)O
sample1_1103,Compd0347,Plate4,1,293T,10uM,24h,Cichoric acid,Cpd0347,6537-80-0,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O
sample1_1104,Compd0348,Plate4,1,293T,10uM,24h,Ingenol,Cpd0348,30220-46-3,CC1CC2C(C2(C)C)C3C=C(C(C4(C1(C3=O)C=C(C4O)C)O)O)CO
sample1_1105,Compd0349,Plate4,1,293T,10uM,24h,Caffeic acid,Cpd0349,331-39-5,C1=CC(=C(C=C1C=CC(=O)O)O)O
sample1_1106,Compd0350,Plate4,1,293T,10uM,24h,Caffeine,Cpd0350,1958-8-2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
sample1_1107,Compd0351,Plate4,1,293T,10uM,24h,Leucoside,Cpd0351,27661-51-4,C1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)CO)O)O)O)O)O
sample1_1108,Compd0352,Plate4,1,293T,10uM,24h,Corilagin,Cpd0352,23094-69-1,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O
sample1_1109,Compd0353,Plate4,1,293T,10uM,24h,Corosolic acid,Cpd0353,4547-24-4,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1C)C)C(=O)O
sample1_111,JQ1,Plate1,1,293T,10uM,24h,,,,
sample1_1110,Compd0354,Plate4,1,293T,10uM,24h,Kushenol I,Cpd0354,99119-69-4,CC(=CCC(CC1=C2C(=C(C=C1O)OC)C(=O)C(C(O2)C3=C(C=C(C=C3)O)O)O)C(=C)C)C
sample1_1111,Compd0355,Plate4,1,293T,10uM,24h,Matrine,Cpd0355,519-02-8,C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1
sample1_1112,Compd0356,Plate4,1,293T,10uM,24h,Kurarinone,Cpd0356,34981-26-5,CC(=CCC(CC1=C2C(=C(C=C1O)OC)C(=O)CC(O2)C3=C(C=C(C=C3)O)O)C(=C)C)C
sample1_1114,Compd0358,Plate4,1,293T,10uM,24h,"bis[6-(5,6-dihyd rochelerythrinyl
)]amine",Cpd0358,165393-48-6,CN1C(C2=C(C=CC(=C2OC)OC)C3=C1C4=CC5=C(C=C4C=C3)OCO5)NC6C7=C(C=CC(=C7OC)OC)C8=C(N6C)C9=CC1=C(C=C9C=C8)OCO1
sample1_1115,Compd0359,Plate4,1,293T,10uM,24h,Amygdalin,Cpd0359,29883-15-6,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O
sample1_1116,Compd0360,Plate4,1,293T,10uM,24h,Picfeltarraenin IA,Cpd0360,97230-47-2,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4C(=CCC5C4(C(=O)CC6(C5(CC(C6C7(C(=O)C=C(O7)C(C)C)C)O)C)C)C)C3(C)C)O)O)O)O)O
sample1_1117,Compd0361,Plate4,1,293T,10uM,24h,Picfeltarraenin IB,Cpd0361,97230-46-1,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CCC4C(=CCC5C4(C(=O)CC6(C5(CC(C6C7(C(=O)C=C(O7)C(C)C)C)O)C)C)C)C3(C)C)CO)O)O)O)O)O
sample1_1118,Compd0362,Plate4,1,293T,10uM,24h,Picfeltarraenin IV,Cpd0362,184288-35-5,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(COC(C3O)OC4CCC5C(=CCC6C5(C(=O)CC7(C6(CC(C7C8(C(=O)C=C(O8)C(C)C)C)O)C)C)C)C4(C)C)O)CO)O)O)O)O)O
sample1_1119,Compd0363,Plate4,1,293T,10uM,24h,"Picfeltarraenin
X",Cpd0363,1391826-61-1,CC(C)C1=CC(=O)C(O1)(C)C2C(CC3(C2(CC(=O)C4(C3CC=C5C4CC(C(C5(C)C)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)C)O
sample1_112,JQ1,Plate1,1,293T,10uM,24h,,,,
sample1_1120,Compd0364,Plate4,1,293T,10uM,24h,Tussilagone,Cpd0364,104012-37-5,CCC(=CC(=O)OC1CC(C2C(C1=C)CC(=O)C2C(C)OC(=O)C)C(C)C)C
sample1_1121,Compd0365,Plate4,1,293T,10uM,24h,Quinic acid,Cpd0365,77-95-2,C1C(C(C(CC1(C(=O)O)O)O)O)O
sample1_1122,Compd0366,Plate4,1,293T,10uM,24h,Olaquindox,Cpd0366,23696-28-8,CC1=C([N+](=O)C2=CC=CC=C2N1[O-])C(=O)NCCO
sample1_1123,Compd0367,Plate4,1,293T,10uM,24h,Rebaudioside A,Cpd0367,58543-16-1,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)(C)C(=O)OC8C(C(C(C(O8)CO)O)O)O
sample1_1124,Compd0368,Plate4,1,293T,10uM,24h,Rebaudioside C,Cpd0368,63550-99-2,CC1C(C(C(C(O1)OC2C(C(C(OC2OC34CCC5C6(CCCC(C6CCC5(C3)CC4=C)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)O
sample1_1125,Compd0369,Plate4,1,293T,10uM,24h,Rebaudioside G,Cpd0369,127345-21-5,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O
sample1_1126,Compd0370,Plate4,1,293T,10uM,24h,Wilfortrine,Cpd0370,37239-48-8,CC(=O)OCC12C(C(C3C(C14C(C(C(C2OC(=O)C)OC(=O)C5=CC=CO5)OC(=O)C(CCC6=C(C=CC=N6)C(=O)OCC3(O4)C)(C)O)(C)O)OC(=O)C)OC(=O)C)OC(=O)C
sample1_1127,Compd0371,Plate4,1,293T,10uM,24h,Wilforine,Cpd0371,11088-09-8,CC1CCC2=C(C=CC=N2)C(=O)OCC3(C4C(C(C5(C(C(C(C(C5(C4OC(=O)C)O3)(C)O)OC1=O)OC(=O)C6=CC=CC=C6)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)C
sample1_1128,Compd0372,Plate4,1,293T,10uM,24h,Celastrol,Cpd0372,34157-83-0,CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O
sample1_1129,Compd0373,Plate4,1,293T,10uM,24h,Triptolide,Cpd0373,38748-32-2,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C
sample1_113,Compd0001,Plate1,1,293T,10uM,24h,Acteoside,Cpd0001,61276-17-3,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O
sample1_1131,Compd0375,Plate4,1,293T,10uM,24h,Wilforgine,Cpd0375,37239-47-7,CC1CCC2=C(C=CC=N2)C(=O)OCC3(C4C(C(C5(C(C(C(C(C5(C4OC(=O)C)O3)(C)O)OC1=O)OC(=O)C6=COC=C6)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)C
